sentiment,이름,내용
기쁨,바뤼흐 스피노자,자만은 스스로를 정당화함으로써 얻어지는 기쁨이다.
기쁨,척 사이거스,"이웃의 기쁨을 듣는 것, 이것이 바로 최고의 관음증이다."
기쁨,프레드리히 니체,나를 믿어라. 인생에서 최대의 성과와 기쁨을 수확하는 비결은 위험한 삶을 사는 데 있다.
기쁨,해럴드 블룸,제대로 된 독서는 고독이 줄 수 있는 훌륭한 기쁨 중 하나이다.
기쁨,윌리엄 블레이크,에너지는 영원한 기쁨이다. 
당황,에리카 종,누구나 재능은 있다. 드문 것은 그 재능이 이끄는 암흑 속으로 따라 들어갈 용기다.
당황,에이브러햄 링컨,누구도 본인의 동의없이 남을 지배할 만큼 훌륭하지는 않다
당황,발타사르 그라시안,자신을 내 보여라. 그러면 재능이 드러날 것이다.
당황,커트 코베인,다른 누군가가 되어서 사랑받기보다는 있는 그대로의 나로서 미움받는 것이 낫다.
당황,토마슨 A. 에디슨,"할 수 있는 일을 해낸다면, 우리 자신이 가장 놀라게 될 것이다."
분노,토마스 아담스,감정에 사로잡힌 자는 행동을 조심하라
분노,베르길리우스,격노는 본심을 빼앗아 간다.
분노,벤자민 프랭클린,격분하는데 이유가 없을 수는 없으나 정당한 이유가 있을 때는 드물다.
분노,톨스토이,모욕을 받고 이내 격분하는 사람은 강이 아닌 조그마한 웅덩이에 불과하다.
분노,가이바라 에키켄,남이 악하다고 해서 내 마음의 즐거움을 잊는 것은 어리석은 일이다.
불안,제임스 딘,"존재의 가장 중요한 이유, 세상을 사는 이유는 발견이다"
불안,마이클 조건,두려움은 환상이다.
불안,엘버트 하버드,당신이 저지를 수 있는 가장 큰 실수는 실수를 할까 두려워 하는 것이다.
불안,프랭클린 루스벨트,두려움 외에는 두려워 할 것이 없다.
불안,마크 트웨인,용기란 두려움에 대한 저항이고 두려움의 정복이다. 두려움이 없는게 아니다.
상처,마더 테레사,얼마나 많이 주느냐보다 얼마나 많은 사랑을 담느냐가 중요하다.
상처,제니퍼 애니스톤,진정한 사랑은 모든 것을 끄집어내요. 어느새 매일 거울을 끄집어내 보고 있죠.
상처,윌리엄 셰익스피어,"모두를 사랑하되, 몇 사람만 믿으라. 누구에게도 잘못을 저지르지 말라."
상처,윌리엄 서머셋 모움,중요한 것은 사랑을 받는 것이 아니라 사랑을 하는 것이었다.
상처,데이비드 비스코트,사랑하고 사랑 받는 것은 양 쪽에서 태양을 느끼는 것이다.
슬픔,마더 테레사,"세상에는 빵 한 조각 때문에 죽어가는 사람도 많지만, 작은 사랑도 받지 못해서 죽어가는 사람은 더 많다."
슬픔,에우리피데스,지나간 슬픔에 새로운 눈물을 낭비하지 마라. 
슬픔,소포클레스,슬픔은 한결같은 사람에게 흔들림을 가르친다. 
슬픔,호메로스,자신이 공들이고 견뎌낸 모든 것을 기억하는 사람에게는 슬픔조차도 오랜 시간이 지나면 기쁨이 된다. 
슬픔,마르쉘 프루스트,행복은 몸에 좋다. 그러나 마음의 힘을 길러주는 것은 슬픔이다.
